node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
pavbw,Type1dot1,"North America,US,Florida",jv1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
pavbw,Type1dot1,"North America,US,Florida",jv1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
h2cfd,Type1dot1,"North America,US,New York",ny1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
h2cfd,Type1dot1,"North America,US,New York",ny1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
h2cfd,Type1dot1,"North America,US,New York",ny1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
h2cfd,Type1dot1,"North America,US,New York",ny1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
h2cfd,Type1dot1,"North America,US,New York",ny1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
fj3mf,Type1dot1,"North America,US,New York",ny1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
fj3mf,Type1dot1,"North America,US,New York",ny1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
iclum,Type1dot1,"North America,US,Florida",jv1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
iclum,Type1dot1,"North America,US,Florida",jv1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
hqae2,Type1dot1,"North America,US,New York",ny1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hqae2,Type1dot1,"North America,US,New York",ny1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hqae2,Type1dot1,"North America,US,New York",ny1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hqae2,Type1dot1,"North America,US,New York",ny1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4rub,Type1dot1,"North America,US,Florida",jv1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
s4rub,Type1dot1,"North America,US,Florida",jv1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
s4rub,Type1dot1,"North America,US,Florida",jv1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
mf3vf,Type1dot1,"North America,US,Florida",jv1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
mf3vf,Type1dot1,"North America,US,Florida",jv1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
