node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,08-07-2025,unassigned,,,,,,,0.0009,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
52ykw,Type1dot1,"Asia,SG,Singapore",sg3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,30-06-2025,unassigned,,,,,,,0.4884,0.3784,0.6215,405420.9445,153422.5261
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,01-07-2025,unassigned,,,,,,,0.4996,0.3605,0.6394,405420.9445,146192.5290
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,02-07-2025,unassigned,,,,,,,0.2724,0.7240,0.2759,405420.9445,293548.2610
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,08-07-2025,unassigned,,,,,,,0.0009,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
jo2yf,Type1dot1,"Asia,SG,Singapore",sg3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,30-06-2025,unassigned,,,,,,,0.4884,0.3784,0.6215,405420.9445,153422.5261
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,01-07-2025,unassigned,,,,,,,0.4996,0.3605,0.6394,405420.9445,146192.5290
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,02-07-2025,unassigned,,,,,,,0.2724,0.7240,0.2759,405420.9445,293548.2610
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,08-07-2025,unassigned,,,,,,,0.0009,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
dglrt,Type1dot1,"Asia,SG,Singapore",sg3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,405420.9445,405420.9445
