node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
qtf43,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
qtf43,Type1dot1,"North America,US,Illinois",ch3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7igzi,Type1dot1,"North America,US,Illinois",ch3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
5qrvh,Type1dot1,"North America,US,Illinois",ch3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
kvdbt,Type1dot1,"North America,US,Illinois",ch3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
6pueo,Type1dot1,"North America,US,Illinois",ch3,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
7vmkt,Type1dot1,"North America,US,Illinois",ch3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
