day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-30,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2025-12-31,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-1,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-2,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-3,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-4,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-5,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-6,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-7,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-8,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-9,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-10,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-11,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
2026-1-12,Europe:CH,1,506447.6386036961,0.7,506447.6386036961
